Módulo,Nº da Aula,Nome da Aula,Duração,Minuto Parado,Assistida (Sim/Não)
Comece Por Aqui,1,,39:23,,
Comece Por Aqui,2,,41:20,,
Comece Por Aqui,3,,43:20,,
Comece Por Aqui,4,,38:56,,
Introdução à Filosofia,1,,45:23,,
Introdução à Filosofia,2,,40:12,,
Introdução à Filosofia,3,,42:33,,
Introdução à Filosofia,4,,40:38,,
Introdução à Filosofia,5,,44:40,,
Linha do Tempo - Período pré-Socrático,1,,42:05,,
Linha do Tempo - Período pré-Socrático,2,,22:43,,
Linha do Tempo - Período pré-Socrático,3,,1:12:40,,
Linha do Tempo - Período pré-Socrático,4,,30:16,,
Linha do Tempo - Período pré-Socrático,5,,22:15,,
Linha do Tempo - Período pré-Socrático,6,,22:02,,
Linha do Tempo - Período pré-Socrático,7,,32:52,,
Linha do Tempo - Período pré-Socrático,8,,26:10,,
Linha do Tempo - Período pré-Socrático,9,,30:27,,
Linha do Tempo - Período Humanista,1,,21:01,,
Linha do Tempo - Período Humanista,2,,34:24,,
Dicionário Filosófico,1,,12:50,,
Dicionário Filosófico,2,,13:53,,
Dicionário Filosófico,3,,15:44,,
Dicionário Filosófico,4,,15:17,,
Dicionário Filosófico,5,,15:34,,
Dicionário Filosófico,6,,15:50,,
Dicionário Filosófico,7,,12:49,,
Dicionário Filosófico,8,,14:59,,
Dicionário Filosófico,9,,16:12,,
Dicionário Filosófico,10,,26:37,,
Dicionário Filosófico,11,,40:07,,
Pensadores,1,,33:42,,
Pensadores,2,,21:34,,
Pensadores,3,,17:56,,
Pensadores,4,,39:53,,
Pensadores,5,,31:28,,
,Nº da Aula,Nome da Aula,Duração,Minuto Parado,Assistida (Sim/Não)
Artes e Simbolismo,1,,19:31,,
Artes e Simbolismo,2,,12:31,,
Artes e Simbolismo,3,,37:16,,
Artes e Simbolismo,4,,15:25,,
Artes e Simbolismo,5,,16:40,,
Artes e Simbolismo,6,,16:03,,
Artes e Simbolismo,7,,10:06,,
,Nº da Aula,Nome da Aula,Duração,Minuto Parado,Assistida (Sim/Não)
Leitura e Memória,1,,27:31,,
Leitura e Memória,2,,26:41,,
Leitura e Memória,3,,28:54,,
Leitura e Memória,4,,19:48,,
Leitura e Memória,5,,26:08,,
Leitura e Memória,6,,26:31,,
Leitura e Memória,7,,16:24,,
Leitura e Memória,8,,32:18,,
Leitura e Memória,9,,18:43,,
,Nº da Aula,Nome da Aula,Duração,Minuto Parado,Assistida (Sim/Não)
Bônus,1,,45:15,,
Bônus,2,,40:50,,
Bônus,3,,33:57,,
Bônus,4,,40:43,,
Bônus,5,,46:28,,